category  student level title duration
the-arts	Elementary/Primary	The Case For Andy Warhol	03:42
the-arts	Middle School/Lower Secondary	Forget shopping. Soon you'll download your new clothes	Danit Peleg	06:23
the-arts	Middle School/Lower Secondary	How to write descriptively	Nalo Hopkinson	04:42
the-arts	Middle School/Lower Secondary	The physics of playing guitar	Oscar Fernando Perez	04:55
the-arts	Middle School/Lower Secondary	The incredible history of China's terracotta warriors	Megan Campisi and Pen-Pen Chen	04:32
the-arts	Middle School/Lower Secondary	The battle of the Greek tragedies	Melanie Sirof	05:07
the-arts	Middle School/Lower Secondary	How I responded to sexism in gaming with empathy	Lilian Chen	07:00
the-arts	Middle School/Lower Secondary	The complex geometry of Islamic design	Eric Broug	05:07
the-arts	Middle School/Lower Secondary	How brass instruments work	Al Cannon	04:12
the-arts	Middle School/Lower Secondary	Eye vs. camera	Michael Mauser	04:57
the-arts	Middle School/Lower Secondary	Earworms: Those songs that get stuck in your head	Elizabeth Hellmuth Margulis	04:46
the-arts	Middle School/Lower Secondary	Rhythm in a box: The story of the cajon drum	Paul Jennings	03:30
the-arts	Middle School/Lower Secondary	Did Shakespeare write his plays?	Natalya St. Clair and Aaron Williams	04:07
the-arts	Middle School/Lower Secondary	Why Shakespeare loved iambic pentameter	David T. Freeman and Gregory Taylor	05:22
the-arts	Middle School/Lower Secondary	The unexpected math behind Van Gogh's "Starry Night"	Natalya St. Clair	04:39
the-arts	Middle School/Lower Secondary	A different way to visualize rhythm	John Varney	05:23
the-arts	Middle School/Lower Secondary	Making a TED-Ed Lesson: Bringing a pop-up book to life	06:13
the-arts	Middle School/Lower Secondary	Music and math: The genius of Beethoven	Natalya St. Clair	04:20
the-arts	Middle School/Lower Secondary	Corruption, wealth and beauty: The history of the Venetian gondola	Laura Morelli	04:51
the-arts	Middle School/Lower Secondary	Why we love repetition in music	Elizabeth Hellmuth Margulis	04:32
the-arts	Middle School/Lower Secondary	How playing an instrument benefits your brain	Anita Collins	04:45
the-arts	Middle School/Lower Secondary	The many meanings of Michelangelo's Statue of David	James Earle	03:19
the-arts	Middle School/Lower Secondary	A brief history of religion in art	TED-Ed	04:38
the-arts	Middle School/Lower Secondary	From Aaliyah to Jay-Z: Captured moments in hip-hop history	Jonathan Mannion	06:21
the-arts	Middle School/Lower Secondary	The sweaty teacher’s lament	Justin Lamb	03:11
the-arts	Middle School/Lower Secondary	Building a museum of museums on the web	Amit Sood	05:36
the-arts	Middle School/Lower Secondary	Music and creativity in Ancient Greece	Tim Hansen	04:47
the-arts	Middle School/Lower Secondary	Making a TED-Ed Lesson: Visualizing complex ideas	05:04
the-arts	Middle School/Lower Secondary	How art can help you analyze	Amy E. Herman	04:50
the-arts	Middle School/Lower Secondary	Kabuki: The people's dramatic art	Amanda Mattes	04:16
the-arts	Middle School/Lower Secondary	The true power of the performing arts	Ben Cameron	12:45
the-arts	Middle School/Lower Secondary	How to take a great picture	Carolina Molinari	02:58
the-arts	Middle School/Lower Secondary	Making a TED-Ed Lesson: Two ways to animate slam poetry	05:25
the-arts	Middle School/Lower Secondary	How to read music	Tim Hansen	05:24
the-arts	Middle School/Lower Secondary	Making a TED-Ed Lesson: Animating zombies with puppets	05:07
the-arts	Middle School/Lower Secondary	Animation basics: The optical illusion of motion	TED-Ed	05:12
the-arts	Middle School/Lower Secondary	Da Vinci's Vitruvian Man of math	James Earle	03:21
the-arts	Middle School/Lower Secondary	Making a TED-Ed Lesson: Synesthesia and playing cards	04:07
the-arts	Middle School/Lower Secondary	Beatboxing 101	BEAT NYC	06:09
the-arts	Middle School/Lower Secondary	Dissecting Botticelli’s Adoration of the Magi	James Earle	03:12
the-arts	Middle School/Lower Secondary	Development of English drama	Mindy Ploeckelmann	03:47
the-arts	Middle School/Lower Secondary	Gyotaku: The ancient Japanese art of printing fish	K. Erica Dodge	03:38
the-arts	Middle School/Lower Secondary	A cinematic journey through visual effects	Don Levy	06:55
the-arts	Middle School/Lower Secondary	Animation basics: Homemade special effects	TED-Ed	04:19
the-arts	Middle School/Lower Secondary	What cameras see that our eyes don’t	Bill Shribman	03:20
the-arts	Middle School/Lower Secondary	To This Day Project	Shane Koyczan	07:37
the-arts	Middle School/Lower Secondary	Become a slam poet in five steps	Gayle Danley	03:32
the-arts	Middle School/Lower Secondary	Visualizing hidden worlds inside your body	Dee Breger	06:06
the-arts	Middle School/Lower Secondary	Illuminating photography: From camera obscura to camera phone	Eva Timothy	04:50
the-arts	Middle School/Lower Secondary	Beach Bodies (in spoken word)	David Fasanya and Gabriel Barralaga	03:33
the-arts	Middle School/Lower Secondary	Distorting Madonna in Medieval art	James Earle	03:11
the-arts	Middle School/Lower Secondary	The dawn of art	05:19
the-arts	Middle School/Lower Secondary	A tap dancer's craft	Andrew Nemr	05:52
the-arts	Middle School/Lower Secondary	Inside a cartoonist’s world	Liza Donnelly	04:23
the-arts	Middle School/Lower Secondary	Let's talk about sex	John Bohannon and Black Label Movement	10:43
the-arts	Middle School/Lower Secondary	Music as a language	Victor Wooten	05:00
the-arts	Middle School/Lower Secondary	Insults by Shakespeare	April Gudenrath	06:24
the-arts	High School/Upper Secondary	The Case For Andy Warhol	03:42
the-arts	High School/Upper Secondary	What makes something "Kafkaesque"?	Noah Tavlin	05:04
the-arts	High School/Upper Secondary	The evolution of the book	Julie Dreyfuss	04:18
the-arts	High School/Upper Secondary	The pleasure of poetic pattern	David Silverstein	04:47
the-arts	High School/Upper Secondary	Who IS Sherlock Holmes?	Neil McCaw	04:54
the-arts	High School/Upper Secondary	What is abstract expressionism?	Sarah Rosenthal	04:50
the-arts	High School/Upper Secondary	The physics of the "hardest move" in ballet	Arleen Sugano	04:17
the-arts	High School/Upper Secondary	The poet who painted with his words	Geneviève Emy	04:16
the-arts	High School/Upper Secondary	Why is this painting so captivating?	James Earle and Christina Bozsik	03:53
the-arts	High School/Upper Secondary	The origins of ballet	Jennifer Tortorello and Adrienne Westwood	04:38
the-arts	High School/Upper Secondary	How ancient art influenced modern art	Felipe Galindo	04:51
the-arts	High School/Upper Secondary	How to make your writing funnier	Cheri Steinkellner	05:07
the-arts	High School/Upper Secondary	How science fiction can help predict the future	Roey Tzezana	05:22
the-arts	High School/Upper Secondary	Forget shopping. Soon you'll download your new clothes	Danit Peleg	06:23
the-arts	High School/Upper Secondary	How to write descriptively	Nalo Hopkinson	04:42
the-arts	High School/Upper Secondary	Group theory 101: How to play a Rubik’s Cube like a piano	Michael Staff	04:37
the-arts	High School/Upper Secondary	A poetic experiment: Walt Whitman, interpreted by three animators	Justin Moore	03:29
the-arts	High School/Upper Secondary	The physics of playing guitar	Oscar Fernando Perez	04:55
the-arts	High School/Upper Secondary	Why tragedies are alluring	David E. Rivas	04:26
the-arts	High School/Upper Secondary	The incredible history of China's terracotta warriors	Megan Campisi and Pen-Pen Chen	04:32
the-arts	High School/Upper Secondary	The battle of the Greek tragedies	Melanie Sirof	05:07
the-arts	High School/Upper Secondary	How I responded to sexism in gaming with empathy	Lilian Chen	07:00
the-arts	High School/Upper Secondary	The complex geometry of Islamic design	Eric Broug	05:07
the-arts	High School/Upper Secondary	How brass instruments work	Al Cannon	04:12
the-arts	High School/Upper Secondary	Eye vs. camera	Michael Mauser	04:57
the-arts	High School/Upper Secondary	Earworms: Those songs that get stuck in your head	Elizabeth Hellmuth Margulis	04:46
the-arts	High School/Upper Secondary	Rhythm in a box: The story of the cajon drum	Paul Jennings	03:30
the-arts	High School/Upper Secondary	Did Shakespeare write his plays?	Natalya St. Clair and Aaron Williams	04:07
the-arts	High School/Upper Secondary	The history of museums	J. V. Maranto	05:44
the-arts	High School/Upper Secondary	Why Shakespeare loved iambic pentameter	David T. Freeman and Gregory Taylor	05:22
the-arts	High School/Upper Secondary	The unexpected math behind Van Gogh's "Starry Night"	Natalya St. Clair	04:39
the-arts	High School/Upper Secondary	A different way to visualize rhythm	John Varney	05:23
the-arts	High School/Upper Secondary	Making a TED-Ed Lesson: Bringing a pop-up book to life	06:13
the-arts	High School/Upper Secondary	Music and math: The genius of Beethoven	Natalya St. Clair	04:20
the-arts	High School/Upper Secondary	Corruption, wealth and beauty: The history of the Venetian gondola	Laura Morelli	04:51
the-arts	High School/Upper Secondary	Why we love repetition in music	Elizabeth Hellmuth Margulis	04:32
the-arts	High School/Upper Secondary	How playing an instrument benefits your brain	Anita Collins	04:45
the-arts	High School/Upper Secondary	Music and emotion through time	Michael Tilson Thomas	20:14
the-arts	High School/Upper Secondary	The many meanings of Michelangelo's Statue of David	James Earle	03:19
the-arts	High School/Upper Secondary	A brief history of religion in art	TED-Ed	04:38
the-arts	High School/Upper Secondary	Doodlers, unite!	Sunni Brown	05:51
the-arts	High School/Upper Secondary	From Aaliyah to Jay-Z: Captured moments in hip-hop history	Jonathan Mannion	06:21
the-arts	High School/Upper Secondary	Building a museum of museums on the web	Amit Sood	05:36
the-arts	High School/Upper Secondary	How architecture helped music evolve	David Byrne	16:01
the-arts	High School/Upper Secondary	Music and creativity in Ancient Greece	Tim Hansen	04:47
the-arts	High School/Upper Secondary	Making a TED-Ed Lesson: Visualizing complex ideas	05:04
the-arts	High School/Upper Secondary	How art can help you analyze	Amy E. Herman	04:50
the-arts	High School/Upper Secondary	Kabuki: The people's dramatic art	Amanda Mattes	04:16
the-arts	High School/Upper Secondary	The true power of the performing arts	Ben Cameron	12:45
the-arts	High School/Upper Secondary	How to take a great picture	Carolina Molinari	02:58
the-arts	High School/Upper Secondary	Making a TED-Ed Lesson: Two ways to animate slam poetry	05:25
the-arts	High School/Upper Secondary	How to read music	Tim Hansen	05:24
the-arts	High School/Upper Secondary	Making a TED-Ed Lesson: Animating zombies with puppets	05:07
the-arts	High School/Upper Secondary	Animation basics: The optical illusion of motion	TED-Ed	05:12
the-arts	High School/Upper Secondary	Da Vinci's Vitruvian Man of math	James Earle	03:21
the-arts	High School/Upper Secondary	Making a TED-Ed Lesson: Synesthesia and playing cards	04:07
the-arts	High School/Upper Secondary	Beatboxing 101	BEAT NYC	06:09
the-arts	High School/Upper Secondary	Dissecting Botticelli’s Adoration of the Magi	James Earle	03:12
the-arts	High School/Upper Secondary	Development of English drama	Mindy Ploeckelmann	03:47
the-arts	High School/Upper Secondary	Gyotaku: The ancient Japanese art of printing fish	K. Erica Dodge	03:38
the-arts	High School/Upper Secondary	A cinematic journey through visual effects	Don Levy	06:55
the-arts	High School/Upper Secondary	Animation basics: Homemade special effects	TED-Ed	04:19
the-arts	High School/Upper Secondary	Weaving narratives in museum galleries	Thomas P. Campbell	16:37
the-arts	High School/Upper Secondary	What cameras see that our eyes don’t	Bill Shribman	03:20
the-arts	High School/Upper Secondary	To This Day Project	Shane Koyczan	07:37
the-arts	High School/Upper Secondary	Become a slam poet in five steps	Gayle Danley	03:32
the-arts	High School/Upper Secondary	Your elusive creative genius	Elizabeth Gilbert	19:32
the-arts	High School/Upper Secondary	Visualizing hidden worlds inside your body	Dee Breger	06:06
the-arts	High School/Upper Secondary	Illuminating photography: From camera obscura to camera phone	Eva Timothy	04:50
the-arts	High School/Upper Secondary	Beach Bodies (in spoken word)	David Fasanya and Gabriel Barralaga	03:33
the-arts	High School/Upper Secondary	How art gives shape to cultural change	Thelma Golden	12:29
the-arts	High School/Upper Secondary	Distorting Madonna in Medieval art	James Earle	03:11
the-arts	High School/Upper Secondary	The dawn of art	05:19
the-arts	High School/Upper Secondary	An interview with Vusi Mahlasela	06:29
the-arts	High School/Upper Secondary	How to find the true face of Leonardo	Siegfried Woldhek	04:22
the-arts	High School/Upper Secondary	How photography connects us	David Griffin	14:57
the-arts	High School/Upper Secondary	A tap dancer's craft	Andrew Nemr	05:52
the-arts	High School/Upper Secondary	Inside a cartoonist’s world	Liza Donnelly	04:23
the-arts	High School/Upper Secondary	Let's talk about sex	John Bohannon and Black Label Movement	10:43
the-arts	High School/Upper Secondary	Music as a language	Victor Wooten	05:00
the-arts	High School/Upper Secondary	Insults by Shakespeare	April Gudenrath	06:24
the-arts	High School/Upper Secondary	The beautiful math of coral	Margaret Wertheim	15:32
the-arts	High School/Upper Secondary	High-tech art (with a sense of humor)	Aparna Rao	08:21
the-arts	High School/Upper Secondary	Folding way-new origami	Robert Lang	15:57
the-arts	High School/Upper Secondary	Taking imagination seriously	Janet Echelman	10:30
the-arts	High School/Upper Secondary	Shedding light on dark matter	Patricia Burchat	17:09
the-arts	College/University	The Case For Andy Warhol	03:42
the-arts	College/University	What makes something "Kafkaesque"?	Noah Tavlin	05:04
the-arts	College/University	The pleasure of poetic pattern	David Silverstein	04:47
the-arts	College/University	The physics of the "hardest move" in ballet	Arleen Sugano	04:17
the-arts	College/University	The poet who painted with his words	Geneviève Emy	04:16
the-arts	College/University	Why is this painting so captivating?	James Earle and Christina Bozsik	03:53
the-arts	College/University	How to make your writing funnier	Cheri Steinkellner	05:07
the-arts	College/University	How science fiction can help predict the future	Roey Tzezana	05:22
the-arts	College/University	Group theory 101: How to play a Rubik’s Cube like a piano	Michael Staff	04:37
the-arts	College/University	A poetic experiment: Walt Whitman, interpreted by three animators	Justin Moore	03:29
the-arts	College/University	The physics of playing guitar	Oscar Fernando Perez	04:55
the-arts	College/University	Why tragedies are alluring	David E. Rivas	04:26
the-arts	College/University	The incredible history of China's terracotta warriors	Megan Campisi and Pen-Pen Chen	04:32
the-arts	College/University	How I responded to sexism in gaming with empathy	Lilian Chen	07:00
the-arts	College/University	The complex geometry of Islamic design	Eric Broug	05:07
the-arts	College/University	How brass instruments work	Al Cannon	04:12
the-arts	College/University	Earworms: Those songs that get stuck in your head	Elizabeth Hellmuth Margulis	04:46
the-arts	College/University	Rhythm in a box: The story of the cajon drum	Paul Jennings	03:30
the-arts	College/University	Did Shakespeare write his plays?	Natalya St. Clair and Aaron Williams	04:07
the-arts	College/University	The history of museums	J. V. Maranto	05:44
the-arts	College/University	The unexpected math behind Van Gogh's "Starry Night"	Natalya St. Clair	04:39
the-arts	College/University	A different way to visualize rhythm	John Varney	05:23
the-arts	College/University	Making a TED-Ed Lesson: Bringing a pop-up book to life	06:13
the-arts	College/University	Music and math: The genius of Beethoven	Natalya St. Clair	04:20
the-arts	College/University	Corruption, wealth and beauty: The history of the Venetian gondola	Laura Morelli	04:51
the-arts	College/University	Why we love repetition in music	Elizabeth Hellmuth Margulis	04:32
the-arts	College/University	How playing an instrument benefits your brain	Anita Collins	04:45
the-arts	College/University	Music and emotion through time	Michael Tilson Thomas	20:14
the-arts	College/University	The many meanings of Michelangelo's Statue of David	James Earle	03:19
the-arts	College/University	A brief history of religion in art	TED-Ed	04:38
the-arts	College/University	Doodlers, unite!	Sunni Brown	05:51
the-arts	College/University	From Aaliyah to Jay-Z: Captured moments in hip-hop history	Jonathan Mannion	06:21
the-arts	College/University	Building a museum of museums on the web	Amit Sood	05:36
the-arts	College/University	How architecture helped music evolve	David Byrne	16:01
the-arts	College/University	Music and creativity in Ancient Greece	Tim Hansen	04:47
the-arts	College/University	Making a TED-Ed Lesson: Visualizing complex ideas	05:04
the-arts	College/University	How art can help you analyze	Amy E. Herman	04:50
the-arts	College/University	Kabuki: The people's dramatic art	Amanda Mattes	04:16
the-arts	College/University	The true power of the performing arts	Ben Cameron	12:45
the-arts	College/University	How to take a great picture	Carolina Molinari	02:58
the-arts	College/University	Making a TED-Ed Lesson: Two ways to animate slam poetry	05:25
the-arts	College/University	How to read music	Tim Hansen	05:24
the-arts	College/University	Making a TED-Ed Lesson: Animating zombies with puppets	05:07
the-arts	College/University	Animation basics: The optical illusion of motion	TED-Ed	05:12
the-arts	College/University	Da Vinci's Vitruvian Man of math	James Earle	03:21
the-arts	College/University	Making a TED-Ed Lesson: Synesthesia and playing cards	04:07
the-arts	College/University	Beatboxing 101	BEAT NYC	06:09
the-arts	College/University	Dissecting Botticelli’s Adoration of the Magi	James Earle	03:12
the-arts	College/University	Development of English drama	Mindy Ploeckelmann	03:47
the-arts	College/University	Gyotaku: The ancient Japanese art of printing fish	K. Erica Dodge	03:38
the-arts	College/University	A cinematic journey through visual effects	Don Levy	06:55
the-arts	College/University	Animation basics: Homemade special effects	TED-Ed	04:19
the-arts	College/University	Weaving narratives in museum galleries	Thomas P. Campbell	16:37
the-arts	College/University	What cameras see that our eyes don’t	Bill Shribman	03:20
the-arts	College/University	To This Day Project	Shane Koyczan	07:37
the-arts	College/University	Become a slam poet in five steps	Gayle Danley	03:32
the-arts	College/University	Your elusive creative genius	Elizabeth Gilbert	19:32
the-arts	College/University	Visualizing hidden worlds inside your body	Dee Breger	06:06
the-arts	College/University	How art gives shape to cultural change	Thelma Golden	12:29
the-arts	College/University	Distorting Madonna in Medieval art	James Earle	03:11
the-arts	College/University	The dawn of art	05:19
the-arts	College/University	An interview with Vusi Mahlasela	06:29
the-arts	College/University	How to find the true face of Leonardo	Siegfried Woldhek	04:22
the-arts	College/University	How photography connects us	David Griffin	14:57
the-arts	College/University	A tap dancer's craft	Andrew Nemr	05:52
the-arts	College/University	Inside a cartoonist’s world	Liza Donnelly	04:23
the-arts	College/University	Let's talk about sex	John Bohannon and Black Label Movement	10:43
the-arts	College/University	Music as a language	Victor Wooten	05:00
the-arts	College/University	The beautiful math of coral	Margaret Wertheim	15:32
the-arts	College/University	High-tech art (with a sense of humor)	Aparna Rao	08:21
the-arts	College/University	Folding way-new origami	Robert Lang	15:57
the-arts	College/University	Taking imagination seriously	Janet Echelman	10:30
the-arts	College/University	Shedding light on dark matter	Patricia Burchat	17:09
the-arts	Other	The Case For Andy Warhol	03:42
business-economics	Elementary/Primary	How coffee got quicker | Moments of Vision 2	Jessica Oreck	01:48
business-economics	Elementary/Primary	It's not you. Claw machines are rigged.	03:51
business-economics	Elementary/Primary	Rethinking thinking	Trevor Maber	05:33
business-economics	Middle School/Lower Secondary	How coffee got quicker | Moments of Vision 2	Jessica Oreck	01:48
business-economics	Middle School/Lower Secondary	How to turn protest into powerful change	Eric Liu	04:57
business-economics	Middle School/Lower Secondary	It's not you. Claw machines are rigged.	03:51
business-economics	Middle School/Lower Secondary	What does it mean to be a refugee?	Benedetta Berti and Evelien Borgman	05:43
business-economics	Middle School/Lower Secondary	Forget shopping. Soon you'll download your new clothes	Danit Peleg	06:23
business-economics	Middle School/Lower Secondary	History through the eyes of the potato	Leo Bear-McGuinness	03:47
business-economics	Middle School/Lower Secondary	Where does gold come from?	David Lunney	04:35
business-economics	Middle School/Lower Secondary	How people rationalize fraud	Kelly Richmond Pope	04:35
business-economics	Middle School/Lower Secondary	Mansa Musa, one of the wealthiest people who ever lived	Jessica Smith	03:55
business-economics	Middle School/Lower Secondary	What causes economic bubbles?	Prateek Singh	04:17
business-economics	Middle School/Lower Secondary	How much food can you buy for $5 around the world?	01:44
business-economics	Middle School/Lower Secondary	The Earth is full	Paul Gilding	16:47
business-economics	Middle School/Lower Secondary	The time value of money	German Nande	03:37
business-economics	Middle School/Lower Secondary	What gives a dollar bill its value?	Doug Levinson	03:52
business-economics	Middle School/Lower Secondary	The new science of marketing	01:38
business-economics	Middle School/Lower Secondary	Network theory	Marc Samet	03:31
business-economics	Middle School/Lower Secondary	Understanding overfishing	04:21
business-economics	Middle School/Lower Secondary	Rethinking thinking	Trevor Maber	05:33
business-economics	Middle School/Lower Secondary	National grid fully charged	11:30
business-economics	Middle School/Lower Secondary	Re-thinking progress: The circular economy	03:49
business-economics	Middle School/Lower Secondary	The real origin of the franchise	Sir Harold Evans	05:49
business-economics	Middle School/Lower Secondary	How containerization shaped the modern world	Sir Harold Evans	04:47
business-economics	High School/Upper Secondary	How coffee got quicker | Moments of Vision 2	Jessica Oreck	01:48
business-economics	High School/Upper Secondary	How to turn protest into powerful change	Eric Liu	04:57
business-economics	High School/Upper Secondary	It's not you. Claw machines are rigged.	03:51
business-economics	High School/Upper Secondary	What does it mean to be a refugee?	Benedetta Berti and Evelien Borgman	05:43
business-economics	High School/Upper Secondary	Forget shopping. Soon you'll download your new clothes	Danit Peleg	06:23
business-economics	High School/Upper Secondary	History through the eyes of the potato	Leo Bear-McGuinness	03:47
business-economics	High School/Upper Secondary	How exposing anonymous companies could cut down on crime	Global Witness	04:07
business-economics	High School/Upper Secondary	The race to sequence the human genome	Tien Nguyen	05:00
business-economics	High School/Upper Secondary	Where does gold come from?	David Lunney	04:35
business-economics	High School/Upper Secondary	The famously difficult green-eyed logic puzzle	Alex Gendler	04:42
business-economics	High School/Upper Secondary	How people rationalize fraud	Kelly Richmond Pope	04:35
business-economics	High School/Upper Secondary	Mansa Musa, one of the wealthiest people who ever lived	Jessica Smith	03:55
business-economics	High School/Upper Secondary	What causes economic bubbles?	Prateek Singh	04:17
business-economics	High School/Upper Secondary	What is a gift economy?	Alex Gendler	04:06
business-economics	High School/Upper Secondary	How much food can you buy for $5 around the world?	01:44
business-economics	High School/Upper Secondary	The Earth is full	Paul Gilding	16:47
business-economics	High School/Upper Secondary	The time value of money	German Nande	03:37
business-economics	High School/Upper Secondary	What gives a dollar bill its value?	Doug Levinson	03:52
business-economics	High School/Upper Secondary	The business logic of sustainability	Ray Anderson	15:52
business-economics	High School/Upper Secondary	The walk from "no" to "yes"	William Ury	18:46
business-economics	High School/Upper Secondary	Actually, the world isn't flat	Pankaj Ghemawat	17:04
business-economics	High School/Upper Secondary	The FAFSA (financial aid application) in 7 easy steps	09:48
business-economics	High School/Upper Secondary	A 40-year plan for energy	Amory Lovins	27:05
business-economics	High School/Upper Secondary	How state budgets are breaking US schools	Bill Gates	11:32
business-economics	High School/Upper Secondary	A new ecosystem for electric cars	Shai Agassi	18:04
business-economics	High School/Upper Secondary	Let's simplify legal jargon	Alan Siegel	04:58
business-economics	High School/Upper Secondary	How I fell in love with a fish	Dan Barber	19:34
business-economics	High School/Upper Secondary	The new science of marketing	01:38
business-economics	High School/Upper Secondary	Network theory	Marc Samet	03:31
business-economics	High School/Upper Secondary	Understanding overfishing	04:21
business-economics	High School/Upper Secondary	Rethinking thinking	Trevor Maber	05:33
business-economics	High School/Upper Secondary	On being a woman and a diplomat	Madeleine Albright	13:00
business-economics	High School/Upper Secondary	National grid fully charged	11:30
business-economics	High School/Upper Secondary	Why we have too few women leaders	Sheryl Sandberg	14:59
business-economics	High School/Upper Secondary	Re-thinking progress: The circular economy	03:49
business-economics	High School/Upper Secondary	Navigating Our Global Future	Ian Goldin	07:07
business-economics	High School/Upper Secondary	How algorithms shape our world	Kevin Slavin	15:24
business-economics	High School/Upper Secondary	The real origin of the franchise	Sir Harold Evans	05:49
business-economics	High School/Upper Secondary	How containerization shaped the modern world	Sir Harold Evans	04:47
business-economics	College/University	How coffee got quicker | Moments of Vision 2	Jessica Oreck	01:48
business-economics	College/University	How to turn protest into powerful change	Eric Liu	04:57
business-economics	College/University	It's not you. Claw machines are rigged.	03:51
business-economics	College/University	What does it mean to be a refugee?	Benedetta Berti and Evelien Borgman	05:43
business-economics	College/University	History through the eyes of the potato	Leo Bear-McGuinness	03:47
business-economics	College/University	How exposing anonymous companies could cut down on crime	Global Witness	04:07
business-economics	College/University	The race to sequence the human genome	Tien Nguyen	05:00
business-economics	College/University	Where does gold come from?	David Lunney	04:35
business-economics	College/University	The famously difficult green-eyed logic puzzle	Alex Gendler	04:42
business-economics	College/University	How people rationalize fraud	Kelly Richmond Pope	04:35
business-economics	College/University	What causes economic bubbles?	Prateek Singh	04:17
business-economics	College/University	What is a gift economy?	Alex Gendler	04:06
business-economics	College/University	The Earth is full	Paul Gilding	16:47
business-economics	College/University	The time value of money	German Nande	03:37
business-economics	College/University	What gives a dollar bill its value?	Doug Levinson	03:52
business-economics	College/University	The business logic of sustainability	Ray Anderson	15:52
business-economics	College/University	The walk from "no" to "yes"	William Ury	18:46
business-economics	College/University	Actually, the world isn't flat	Pankaj Ghemawat	17:04
business-economics	College/University	The FAFSA (financial aid application) in 7 easy steps	09:48
business-economics	College/University	A 40-year plan for energy	Amory Lovins	27:05
business-economics	College/University	How state budgets are breaking US schools	Bill Gates	11:32
business-economics	College/University	A new ecosystem for electric cars	Shai Agassi	18:04
business-economics	College/University	Let's simplify legal jargon	Alan Siegel	04:58
business-economics	College/University	How I fell in love with a fish	Dan Barber	19:34
business-economics	College/University	The new science of marketing	01:38
business-economics	College/University	Network theory	Marc Samet	03:31
business-economics	College/University	Understanding overfishing	04:21
business-economics	College/University	Rethinking thinking	Trevor Maber	05:33
business-economics	College/University	On being a woman and a diplomat	Madeleine Albright	13:00
business-economics	College/University	National grid fully charged	11:30
business-economics	College/University	Why we have too few women leaders	Sheryl Sandberg	14:59
business-economics	College/University	Re-thinking progress: The circular economy	03:49
